name,WKT,group
Royal Marsden Hospital,"POLYGON((-0.13758475206505064 51.47194634391612, -0.14202843691816863 51.46549932138493, -0.1981426643829275 51.50025398483925, -0.19866716690027364 51.50322705146042, -0.169714959563346 51.503915743110376, -0.13758475206505064 51.47194634391612))",Hospital
Chelsea and Westminster Hospital,"POLYGON((-0.14940375552761584 51.44925962717913, -0.20585428871208067 51.454915475058556, -0.1981426643829275 51.50025398483925, -0.14202843691816863 51.46549932138493, -0.14940375552761584 51.44925962717913))",Hospital
Cleveland Clinic London Hospital,"POLYGON((-0.13439683506460992 51.47419815792354, -0.13758475206505064 51.47194634391612, -0.169714959563346 51.503915743110376, -0.15987881416883984 51.509346471747584, -0.1333944399007763 51.509956195659534, -0.13439683506460992 51.47419815792354))",Hospital
St Thomas' Hospital,POINT (-0.1188859 51.4991539),Hospital
King's College Hospital,POINT (-0.0923331 51.4686713),Hospital
St Mary's Hospital,POINT (-0.1742676 51.5175558),Hospital
St Bartholomew's Hospital,POINT (-0.1014168 51.5168725),Hospital
"London Bridge Hospital, part of HCA Healthcare UK",POINT (-0.0860519 51.5062543),Hospital
Royal Free Hospital,POINT (-0.1661582 51.5538237),Hospital
The Royal London Hospital,POINT (-0.0589782 51.5183701),Hospital
Homerton Healthcare NHS Foundation Trust,POINT (-0.0460987 51.5506338),Hospital
University College Hospital,POINT (-0.1364556 51.5250869),Hospital
Whittington Hospital,POINT (-0.1384747 51.5662426),Hospital
Great Ormond Street Hospital for Children,POINT (-0.120741 51.5231639),Hospital
Moorfields Eye Hospital,POINT (-0.09003159999999999 51.5274468),Hospital
North London NHS Foundation Trust,POINT (-0.1319239 51.53641469999999),Hospital
Charing Cross Hospital,POINT (-0.2195543 51.4868889),Hospital
Hammersmith Hospital,POINT (-0.2357804999999999 51.5171954),Hospital
St John & St Elizabeth Hospital London,POINT (-0.1747259 51.5332726),Hospital
King Edward VII's Hospital,POINT (-0.1503295 51.5208573),Hospital
University College Hospital at Westmoreland Street,POINT (-0.1497023 51.5197137),Hospital
Weymouth Street Hospital,POINT (-0.1505428 51.5202319),Hospital
Guy's Hospital,POINT (-0.08685459999999999 51.5033114),Hospital
Mile End Hospital,POINT (-0.0431959 51.5245377),Hospital
St Leonard's Hospital,POINT (-0.0772543 51.53392119999999),Hospital
Royal Marsden Hospital,POINT (-0.1725817 51.4900992),Hospital
Chelsea and Westminster Hospital,POINT (-0.1817018 51.4843947),Hospital
Cleveland Clinic London Hospital,POINT (-0.1484996 51.4994755),Hospital
